pair_key,pair_label,probe,mean_rotation_distance,median_rotation_distance,p90_rotation_distance,max_rotation_distance,date_max_rotation,mean_angle_degrees,median_angle_degrees,p90_angle_degrees,max_angle_degrees,n_dates_valid
D_H,Diagonal vs HAC,Financial,0.2783708321911556,0.279002811903192,0.31506575828397293,0.34073549418406013,2023-09-01,43.737443601357306,43.86312838334661,46.76956352878447,48.75619607778047,359
D_H,Diagonal vs HAC,Full soft,0.33210474146917396,0.3367177007306711,0.3648987523966999,0.3818330043907895,2009-02-01,48.05098397055288,48.44931736577211,50.57250499425743,51.81759800774299,359
D_H,Diagonal vs HAC,Long horizons,0.2935191105215046,0.2939852495622376,0.3389261557817701,0.3746563672374764,2009-02-01,44.972682415924325,45.08841739244736,48.618175932990056,51.2925863690908,359
D_H,Diagonal vs HAC,Macro,0.3064666483134083,0.3093695870238159,0.339740907271473,0.35887500742816436,2009-02-01,46.04536195759195,46.31996774559621,48.68036401569885,50.124241397641704,359
D_H,Diagonal vs HAC,Medium horizons,0.2644156817819201,0.2712863870323987,0.3017420977405262,0.37154065624144794,2018-04-01,42.551135695346595,43.22134017528507,45.71259757098972,51.06345304033265,359
D_H,Diagonal vs HAC,Short horizons,0.21174673236688857,0.2089028872162525,0.26868026985556137,0.32232574099527855,2023-09-01,37.81670969876245,37.711843097850746,43.00280122843746,47.33783232171,359
D_V,Diagonal vs Hilbert-Volterra,Financial,0.2809102326578792,0.28068731854093476,0.31859703056719535,0.34400656007268426,2023-09-01,43.94518733843552,44.002236733919936,47.04662633107304,49.004979179628755,359
D_V,Diagonal vs Hilbert-Volterra,Full soft,0.33422333976516616,0.33886805228441774,0.3687199663323892,0.3826676569293709,2009-02-01,48.21220729050208,48.613741205039766,50.85537562262439,51.87841134185486,359
D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.2952983334848914,0.2967860188307593,0.3418074349486997,0.3736294342410411,2009-02-01,45.11471128569291,45.314565690480094,48.837825680893644,51.21714581101606,359
D_V,Diagonal vs Hilbert-Volterra,Macro,0.30836611371973904,0.3115993039257412,0.342810142909597,0.3599159516442736,2009-02-01,46.19451156546192,46.49635693927928,48.91409374469863,50.20191294093727,359
D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.2670885894367235,0.2741749094527217,0.304871466377325,0.38814854653993214,2018-04-01,42.76689039700731,43.46247102103451,45.96253813849471,52.27650416442364,359
D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.21413440775863035,0.2094453578796338,0.2724690561050386,0.3262496505725898,2023-09-01,38.03343995204692,37.76262609349007,43.32015806047884,47.64281731026037,359
H_V,HAC vs Hilbert-Volterra,Financial,0.0005484168516147704,0.00042427062955230355,0.001036651749041373,0.0021027454924075206,2019-12-01,1.80787993303125,1.6690696900959445,2.609105125246737,3.7162687707420936,359
H_V,HAC vs Hilbert-Volterra,Full soft,0.0006299988821980391,0.0005591895779140099,0.001116064237411174,0.001606074451552364,2020-05-01,1.973879559473136,1.9161848594738573,2.7072141505138596,3.247720225780783,359
H_V,HAC vs Hilbert-Volterra,Long horizons,0.0006076681051357006,0.0005375180376222533,0.0010104981032388327,0.0027487014503650986,2020-05-01,1.9167186140060453,1.87868343845889,2.575972822163768,4.24913906700114,359
H_V,HAC vs Hilbert-Volterra,Macro,0.0006042880429126345,0.0005493168772765511,0.0010268445549086677,0.001676494744093704,2018-02-01,1.9287197573053505,1.8991924885874103,2.596709657005777,3.318176027399487,359
H_V,HAC vs Hilbert-Volterra,Medium horizons,0.0005325180857214839,0.00042085359725652083,0.0009772916886959804,0.0022444676878267122,2018-08-01,1.786394643058511,1.662334370449403,2.533287518557774,3.8395079612752854,359
H_V,HAC vs Hilbert-Volterra,Short horizons,0.0004743425574896134,0.0002882167959411541,0.0007979017304139191,0.003682838329801874,2018-12-01,1.6027679858264714,1.375649214918521,2.288975120461867,4.918835898606085,359
