surface,probe,p,rank,trace_share,retained_probe_mass,p95_exact_error,max_exact_error,share_error_gt_0_05,p95_ritz_subspace_residual_term,max_capped_ritz_bound,max_uncapped_ritz_bound,panel,threshold,median_d,max_d,share_d_gt_0,median_kappa_conditional,p90_kappa_conditional,max_generalized_eigenpair_residual,solver_backend
72-coordinate full event-study surface,fiscal/post block probe,72,5.0,0.6025731585524929,0.6610680479894576,0.17754474680906387,0.21433262812442677,0.717948717948718,2.715925452011842,1.0,6.3923072892029165,A,,,,,,,,
72-coordinate full event-study surface,fiscal/post block probe,72,10.0,0.7234469220689217,0.758711215865564,0.1354590866896939,0.14388633716663002,0.5743589743589743,4.297599710624351,1.0,5.397546009293938,A,,,,,,,,
72-coordinate full event-study surface,fiscal/post block probe,72,15.0,0.8072422371897897,0.8691739965991764,0.056366786459384956,0.0650899832785482,0.13333333333333333,3.970542871092232,1.0,4.869247838333553,A,,,,,,,,
28-coordinate fiscal/post event-study surface,whole-surface soft probe,28,5.0,0.7308173458796478,0.1898862066533079,0.4893770649636352,0.5015288320280461,1.0,1.9527067529869655,1.0,4.929368237945543,A,,,,,,,,
28-coordinate fiscal/post event-study surface,whole-surface soft probe,28,10.0,0.9019593022771757,0.37917086428678065,0.3657381835966566,0.3727977371631534,1.0,3.4895626499989656,1.0,4.920785928433018,A,,,,,,,,
28-coordinate fiscal/post event-study surface,whole-surface soft probe,28,15.0,0.9636752683430952,0.5665760382281527,0.25908120327038553,0.29387684255351143,0.8769230769230769,2.563953527522436,1.0,4.674655830016093,A,,,,,,,,
72-coordinate full event-study surface,not probe-specific,72,,,,,,,,,,B,2.0,10.0,23.0,0.958974358974359,0.012509609191118846,0.14425488059682523,3.2211899777004736e-13,scipy.linalg.eigh subset_by_value
72-coordinate full event-study surface,not probe-specific,72,,,,,,,,,,B,4.0,3.0,12.0,0.8358974358974359,0.0061561734829429695,0.3011966775449726,3.2211899777004736e-13,scipy.linalg.eigh subset_by_value
28-coordinate fiscal/post event-study surface,not probe-specific,28,,,,,,,,,,B,2.0,2.0,15.0,0.6205128205128205,0.10774396880821714,0.33659885548546103,1.3682523674344762e-13,scipy.linalg.eigh subset_by_value
28-coordinate fiscal/post event-study surface,not probe-specific,28,,,,,,,,,,B,4.0,0.0,7.0,0.441025641025641,0.22558395688820398,0.6854719303477457,1.3682523674344762e-13,scipy.linalg.eigh subset_by_value
